source	reading	korean	category	evidence	confidence	notes
ロックマン	ロックマン	록맨	character_name	00/353:0	high	일본판 표기 기준
メットール	メットール	메톨	enemy_name	00/353:1	high	계열 공통 어근
メットール2	メットール2	메톨2	enemy_name	00/353:2	high	
メットール3	メットール3	메톨3	enemy_name	00/353:3	high	
キャノーダム	キャノーダム	캐노덤	enemy_name	00/353:4	medium	일본판 독음 기준
キャノーダム2	キャノーダム2	캐노덤2	enemy_name	00/353:5	medium	
キャノーダム3	キャノーダム3	캐노덤3	enemy_name	00/353:6	medium	
カブタンク	カブタンク	카부탱크	enemy_name	00/353:7	high	
カブタンク2	カブタンク2	카부탱크2	enemy_name	00/353:8	high	
カブタンク3	カブタンク3	카부탱크3	enemy_name	00/353:9	high	
キオルシン	キオルシン	키오루신	enemy_name	00/353:10	medium	고유 조어 음역
バドラフト	バドラフト	바드래프트	enemy_name	00/353:11	medium	고유 조어 음역
クモンペ	クモンペ	쿠몬페	enemy_name	00/353:12	medium	
クモンペ2	クモンペ2	쿠몬페2	enemy_name	00/353:13	medium	
クモンペ3	クモンペ3	쿠몬페3	enemy_name	00/353:14	medium	
ゴースラー	ゴースラー	고슬러	enemy_name	00/353:15	medium	
ゴースラー2	ゴースラー2	고슬러2	enemy_name	00/353:16	medium	
ゴースラー3	ゴースラー3	고슬러3	enemy_name	00/353:17	medium	
ハンディース	ハンディース	핸디스	enemy_name	00/353:18	medium	
ハンディース2	ハンディース2	핸디스2	enemy_name	00/353:19	medium	
ハンディース3	ハンディース3	핸디스3	enemy_name	00/353:20	medium	
ラビリー	ラビリー	라빌리	enemy_name	00/353:21	medium	
ハイラビリー	ハイラビリー	하이라빌리	enemy_name	00/353:22	medium	
メガラビリー	メガラビリー	메가라빌리	enemy_name	00/353:23	medium	
メテファイア	メテファイア	메테파이어	enemy_name	00/353:24	medium	
フルファイア	フルファイア	풀파이어	enemy_name	00/353:25	high	
デスファイア	デスファイア	데스파이어	enemy_name	00/353:26	high	
プクール	プクール	푸쿨	enemy_name	00/353:27	medium	
プクールボウ	プクールボウ	푸쿨보우	enemy_name	00/353:28	medium	
ハルドボルズ	ハルドボルズ	하르도볼즈	enemy_name	00/353:29	medium	고유 조어 음역
ハルドボルズ2	ハルドボルズ2	하르도볼즈2	enemy_name	00/353:30	medium	
ハルドボルズ3	ハルドボルズ3	하르도볼즈3	enemy_name	00/353:31	medium	
キャンデービル	キャンデービル	캔디데빌	enemy_name	00/353:32	medium	Candy Devil 조어로 해석
キャンデービル2	キャンデービル2	캔디데빌2	enemy_name	00/353:33	medium	
キャンデービル3	キャンデービル3	캔디데빌3	enemy_name	00/353:34	medium	
チャマッシュ	チャマッシュ	차머시	enemy_name	00/353:35	medium	
キマッシュ	キマッシュ	키머시	enemy_name	00/353:36	medium	
クロマッシュ	クロマッシュ	크로머시	enemy_name	00/353:37	medium	
スウォーディン	スウォーディン	스워딘	enemy_name	00/353:38	medium	
スウォードラ	スウォードラ	스워드라	enemy_name	00/353:39	medium	
スウォータル	スウォータル	스워탈	enemy_name	00/353:40	medium	
ラッシュ	ラッシュ	러시	enemy_name	00/353:41	high	
ホンキノラッシュ	ホンキノラッシュ	진심의 러시	enemy_name	00/353:42	medium	의미 번역
プクールバブ	プクールバブ	푸쿨바브	enemy_name	00/353:43	medium	
ヘルコンドル	ヘルコンドル	헬콘도르	enemy_name	00/353:44	high	
ポワルド	ポワルド	포와르도	enemy_name	00/353:45	medium	
ポワルド2	ポワルド2	포와르도2	enemy_name	00/353:46	medium	
ポワルド3	ポワルド3	포와르도3	enemy_name	00/353:47	medium	
チュートン	チュートン	츄톤	enemy_name	00/353:48	medium	
チュートン2	チュートン2	츄톤2	enemy_name	00/353:49	medium	
チュートン3	チュートン3	츄톤3	enemy_name	00/353:50	medium	
パララ	パララ	파라라	enemy_name	00/353:51	high	
パララ2	パララ2	파라라2	enemy_name	00/353:52	high	
パララ3	パララ3	파라라3	enemy_name	00/353:53	high	
ミノゴロモン	ミノゴロモン	미노고로몬	enemy_name	00/353:54	medium	
ミノゴロモン2	ミノゴロモン2	미노고로몬2	enemy_name	00/353:55	medium	
ミノゴロモン3	ミノゴロモン3	미노고로몬3	enemy_name	00/353:56	medium	
ガルー	ガルー	가루	enemy_name	00/353:57	medium	
ガルーバー	ガルーバー	가루바	enemy_name	00/353:58	medium	
ガルードラ	ガルードラ	가루드라	enemy_name	00/353:59	medium	
フレイボー	フレイボー	플레이보	enemy_name	00/353:60	medium	
フレイボー2	フレイボー2	플레이보2	enemy_name	00/353:61	medium	
フレイボー3	フレイボー3	플레이보3	enemy_name	00/353:62	medium	
